Id,MSSubClass,MSZoning,LotFrontage,SalePrice
315,70,RM,60,178000
316,60,RL,71,188500
317,60,RL,94,260000
318,60,FV,75,270000
319,60,RL,90,260000
320,80,RL,NA,187500
321,60,RL,111,342643
322,60,RL,99,354000
323,60,RL,86,301000
324,20,RM,49,126175
325,80,RL,96,242000
326,45,RM,50,87000
327,120,RL,32,324000
328,20,RL,80,145250
329,75,RL,NA,214500
330,70,RM,60,78000
331,90,RL,NA,119000
332,20,RL,70,139000
333,20,RL,85,284000
334,120,RM,59,207000
335,60,RL,59,192000
336,190,RL,NA,228950
337,20,RL,86,377426
338,20,RL,70,214000
339,20,RL,91,202500
340,20,RL,66,155000
341,60,RL,85,202900
342,20,RH,60,82000
343,90,RL,NA,87500
344,120,RL,63,266000
345,160,RM,36,85000
346,50,RL,65,140200
347,20,RL,NA,151500
348,20,RL,NA,157500
349,160,RL,36,154000
350,60,RL,56,437154
351,120,RL,68,318061
352,120,RL,NA,190000
353,50,RL,60,95000
354,30,RM,60,105900
355,50,RL,60,140000
356,20,RL,105,177500
357,20,RL,NA,173000
358,120,RM,44,134000
359,80,RL,92,130000
360,60,RL,78,280000
361,85,RL,NA,156000
362,50,RL,NA,145000
363,85,RL,64,198500
364,160,RM,21,118000
365,60,RL,NA,190000
366,70,RM,59,147000
367,20,RL,NA,159000
368,80,RL,101,165000
369,20,RL,78,132000
370,20,RL,NA,162000
371,60,RL,NA,172400
372,50,RL,80,134432
373,120,RL,50,125000
374,20,RL,79,123000
375,60,RL,65,219500
376,30,RL,NA,61000
377,85,RL,57,148000
378,60,FV,102,340000
379,20,RL,88,394432
380,60,RL,60,179000
381,50,RL,50,127000
382,20,FV,60,187750
383,60,RL,79,213500
384,45,RH,60,76000
385,60,RL,NA,240000
386,120,RL,43,192000
387,50,RL,58,81000
388,80,RL,72,125000
389,20,RL,93,191000
390,60,RL,96,426000
391,50,RL,50,119000
392,60,RL,71,215000
393,20,RL,NA,106500
394,30,RL,NA,100000
395,50,RL,60,109000
396,20,RL,68,129000
397,20,RL,60,123000
398,60,RL,69,169500
399,30,RM,60,67000
400,60,FV,65,241000
401,120,RL,38,245500
402,20,RL,65,164990
403,30,RL,60,108000
404,60,RL,93,258000
405,60,RL,NA,168000
406,20,RL,NA,150000
407,50,RL,51,115000
408,70,RL,63,177000
409,60,RL,109,280000
410,60,FV,85,339750
411,20,RL,68,60000
412,190,RL,100,145000
413,20,FV,NA,222000
414,30,RM,56,115000
415,60,RL,59,228000
416,20,RL,73,181134
417,60,RL,74,149500
418,70,RL,86,239000
419,50,RL,60,126000
420,20,RL,65,142000
421,90,RM,78,206300
422,20,RL,NA,215000
423,20,RL,100,113000
424,60,RL,80,315000
425,20,RL,72,139000
426,60,RM,60,135000
427,80,RL,NA,275000
428,20,RL,77,109008
429,20,RL,64,195400
430,20,RL,130,175000
431,160,RM,21,85400
432,50,RM,60,79900
433,160,RM,24,122500
434,60,RL,100,181000
435,180,RM,21,81000
436,60,RL,43,212000
437,50,RM,40,116000
438,45,RM,50,119000
439,30,RL,40,90350
440,50,RL,67,110000
441,20,RL,105,555000
442,90,RL,92,118000
443,50,RM,52,162900
444,120,RL,53,172500
445,60,RL,70,210000
446,20,RL,73,127500
447,20,RL,137,190000
448,60,RL,NA,199900
449,50,RM,50,119500
450,50,RM,50,120000
451,30,RM,70,110000
452,20,RL,62,280000
453,60,RL,NA,204000
454,60,FV,75,210000
455,90,RL,63,188000
456,20,RL,80,175500
457,70,RM,34,98000
458,20,RL,NA,256000
459,70,RM,NA,161000
460,50,RL,NA,110000
461,60,FV,75,263435
462,70,RL,60,155000
463,20,RL,60,62383
464,70,RL,74,188700
465,20,RL,60,124000
466,120,RM,NA,178740
467,20,RL,85,167000
468,70,RL,79,146500
469,20,RL,98,250000
470,60,RL,76,187000
471,120,RL,NA,212000
472,60,RL,92,190000
473,180,RM,35,148000
474,20,RL,110,440000
475,120,RL,41,251000
476,20,RL,80,132500
477,20,RL,75,208900
478,60,RL,105,380000
479,20,RL,79,297000
480,30,RM,50,89471
481,20,RL,98,326000
482,20,RL,72,374000
483,70,RM,50,155000
484,120,RM,32,164000
485,20,RL,NA,132500
486,20,RL,80,147000
487,20,RL,79,156000
488,20,RL,70,175000
489,190,RL,60,160000
490,180,RM,21,86000
491,160,RM,NA,115000
492,50,RL,79,133000
493,60,RL,105,172785
494,20,RL,70,155000
495,30,RM,50,91300
496,30,C (all),60,34900
497,20,RL,NA,430000
498,50,RL,60,184000
499,20,RL,65,130000
500,20,RL,70,120000
501,160,RM,21,113000
502,60,FV,75,226700
503,20,RL,70,140000
504,20,RL,100,289000
505,160,RL,24,147000
506,90,RM,60,124500
507,60,RL,80,215000
508,20,FV,75,208300
509,70,RM,60,161000
510,20,RL,80,124500
511,20,RL,75,164900
512,120,RL,40,202665
513,20,RL,70,129900
514,20,RL,71,134000
515,45,RL,55,96500
516,20,RL,94,402861
517,80,RL,NA,158000
518,60,RL,79,265000
519,60,RL,NA,211000
520,70,RL,53,234000
521,190,RL,60,106250
522,20,RL,90,150000
523,50,RM,50,159000
524,60,RL,130,184750
525,60,RL,95,315750
526,20,FV,62,176000
527,20,RL,70,132000
528,60,RL,67,446261
529,30,RL,58,86000
530,20,RL,NA,200624
531,80,RL,85,175000
532,70,RM,60,128000
533,20,RL,60,107500
534,20,RL,50,39300
535,60,RL,74,178000
536,190,RL,70,107500
537,60,RL,57,188000
538,20,RL,NA,111250
539,20,RL,NA,158000
540,20,RL,NA,272000
541,20,RL,85,315000
542,60,RL,NA,248000
543,20,RL,78,213250
544,120,RH,34,133000
545,60,RL,58,179665
546,50,RL,NA,229000
547,50,RL,70,210000
548,85,RL,54,129500
549,20,RM,49,125000
550,60,FV,75,263000
551,120,RL,53,140000
552,20,RM,50,112500
553,20,RL,87,255500
554,20,RL,67,108000
555,60,RL,85,284000
556,45,RM,58,113000
557,20,RL,69,141000
558,50,C (all),60,108000
559,60,RL,57,175000
560,120,RL,NA,234000
561,20,RL,NA,121500
562,20,RL,77,170000
563,30,RL,63,108000
564,50,RL,66,185000
565,60,RL,NA,268000
566,70,RL,66,128000
567,60,RL,77,325000
568,20,RL,70,214000
569,50,RL,79,316600
570,90,RL,NA,135960
571,90,RL,74,142600
572,20,RL,60,120000
573,60,RL,83,224500
574,80,RL,76,170000
575,80,RL,70,139000
576,50,RL,80,118500
577,50,RL,52,145000
578,80,RL,96,164500
579,160,FV,34,146000
580,50,RM,81,131500
581,20,RL,NA,181900
582,20,RL,98,253293
583,90,RL,81,118500
584,75,RM,75,325000
585,50,RM,51,133000
586,20,RL,88,369900
587,30,RL,55,130000
588,85,RL,74,137000
589,20,RL,65,143000
590,40,RM,50,79500
591,60,RL,64,185900
592,60,RL,97,451950
593,20,RL,60,138000
594,120,RM,NA,140000
595,20,RL,88,110000
596,20,RL,69,319000
597,70,RM,60,114504
598,120,RL,53,194201
599,20,RL,80,217500
600,160,RM,24,151000
601,60,RL,74,275000
602,50,RM,50,141000
603,60,RL,80,220000
604,160,FV,30,151000
605,20,RL,88,221000
606,60,RL,85,205000
607,20,RL,82,152000
608,20,RL,78,225000
609,70,RL,78,359100
610,20,RL,61,118500
611,60,RL,NA,313000
612,80,RL,NA,148000
613,60,RL,NA,261500
614,20,RL,70,147000
615,180,RM,21,75500
616,85,RL,80,137500
617,60,RL,NA,183200
618,45,RL,59,105500
619,20,RL,90,314813
620,60,RL,85,305000
621,30,RL,45,67000
622,60,RL,90,240000
623,20,RL,71,135000
624,160,FV,NA,168500
625,60,RL,80,165150
626,20,RL,87,160000
627,20,RL,NA,139900
628,80,RL,80,153000
629,60,RL,70,135000
630,80,RL,82,168500
631,70,RM,50,124000
632,120,RL,34,209500
633,20,RL,85,82500
634,20,RL,80,139400
635,90,RL,64,144000
636,190,RH,60,200000
637,30,RM,51,60000
638,190,RM,50,93000
639,30,RL,67,85000
640,120,RL,53,264561
641,120,RL,62,274000
642,60,FV,NA,226000
643,80,RL,75,345000
644,60,RL,80,152000
645,20,FV,85,370878
646,20,RL,NA,143250
647,20,RL,60,98300
648,20,RL,85,155000
649,60,RL,70,155000
650,180,RM,21,84500
651,60,FV,65,205950
652,70,RL,60,108000
653,60,RL,70,191000
654,50,RM,60,135000
655,20,RL,91,350000
656,160,RM,21,88000
657,20,RL,72,145500
658,70,RL,60,149000
659,50,RL,78,97500
660,20,RL,75,167000
661,60,RL,NA,197900
662,60,RL,52,402000
663,20,RL,120,110000
664,85,RL,90,137500
665,20,RL,49,423000
666,60,RL,106,230500
667,60,RL,NA,129000
668,20,RL,65,193500
669,20,RL,NA,168000
670,30,RL,80,137500
671,60,RL,64,173500
672,70,RH,54,103600
673,20,RL,NA,165000
674,20,RL,110,257500
675,20,RL,80,140000
676,160,RL,24,148500
677,70,RM,60,87000
678,30,RL,52,109500
679,20,RL,80,372500
680,20,RL,NA,128500
681,120,RL,50,143000
682,50,RH,55,159434
683,120,RL,NA,173000
684,20,RL,90,285000
685,60,RL,58,221000
686,160,RL,NA,207500
687,60,FV,84,227875
688,160,FV,NA,148800
689,20,RL,60,392000
690,120,RL,61,194700
691,120,RM,NA,141000
692,60,RL,104,755000
693,60,RL,42,335000
694,30,RL,60,108480
695,50,RM,51,141500
696,20,RL,54,176000
697,30,RM,50,89000
698,20,RL,57,123500
699,20,RL,65,138500
700,120,FV,59,196000
701,20,RL,85,312500
702,20,RL,80,140000
703,60,RL,82,361919
704,190,RM,76,140000
705,20,RL,70,213000
706,190,RM,70,55000
707,20,RL,NA,302000
708,120,RL,48,254000
709,60,RL,65,179540
710,20,RL,NA,109900
711,30,RL,56,52000
712,50,C (all),66,102776
713,120,RL,40,189000
714,190,RL,60,129000
715,60,RL,NA,130500
716,20,RL,78,165000
717,70,RM,60,159500
718,20,RL,80,157000
719,60,RL,96,341000
720,20,RL,69,128500
721,120,RL,NA,275000
722,120,RM,NA,143000
723,20,RL,70,124500
724,50,RL,60,135000
725,20,RL,86,320000
726,20,RL,60,120500
727,20,RL,NA,222000
728,20,RL,64,194500
729,90,RL,85,110000
730,30,RM,52,103000
731,120,RL,39,236500
732,80,RL,73,187500
733,60,RL,75,222500
734,20,RL,80,131400
735,20,RL,NA,108000
736,75,RM,60,163000
737,90,RL,60,93500
738,60,RL,72,239900
739,90,RL,60,179000
740,60,RL,65,190000
741,70,RM,60,132000
742,20,RL,65,142000
743,20,RL,65,179000
744,80,RL,70,175000
745,120,RL,41,180000
746,60,RL,NA,299800
747,60,RL,NA,236000
748,70,RM,65,265979
749,20,RL,59,260400
750,50,RL,50,98000
751,50,RM,55,96500
752,60,RL,NA,162000
753,20,RL,79,217000
754,60,RL,80,275500
755,20,RL,61,156000
756,160,FV,34,172500
757,60,RL,68,212000
758,60,RL,NA,158900
759,160,FV,24,179400
760,60,RL,65,290000
761,20,RL,70,127500
762,30,RM,60,100000
763,60,FV,72,215200
764,60,RL,82,337000
765,120,RL,30,270000
766,20,RL,75,264132
767,60,RL,80,196500
768,50,RL,75,160000
769,20,RL,70,216837
770,60,RL,47,538000
771,85,RL,NA,134900
772,20,RL,67,102000
773,80,RL,94,107000
774,20,RL,70,114500
775,20,RL,110,395000
776,120,RM,32,162000
777,20,RL,86,221500
778,20,RL,100,142500
779,90,RH,60,144000
780,90,RL,78,135000
781,20,RL,63,176000
782,60,RL,65,175900
783,20,RL,67,187100
784,85,RL,NA,165500
785,75,RM,35,128000
786,20,RL,NA,161500
787,50,RM,60,139000
788,60,RL,76,233000
789,20,RM,50,107900
790,60,RL,NA,187500
791,120,RL,43,160200
792,80,RL,NA,146800
793,60,RL,92,269790
794,20,RL,76,225000
795,60,RL,NA,194500
796,60,RL,70,171000
797,20,RL,71,143500
798,20,RL,57,110000
799,60,RL,104,485000
800,50,RL,60,175000
801,60,RL,79,200000
802,30,RM,40,109900
803,60,RL,63,189000
804,60,RL,107,582933
805,20,RL,75,118000
806,20,RL,91,227680
807,80,RL,75,135500
808,70,RL,144,223500
809,80,RL,85,159950
810,75,RM,90,106000
811,20,RL,78,181000
812,120,RM,NA,144500
813,20,C (all),66,55993
814,20,RL,75,157900
815,50,RL,45,116000
816,20,RL,48,224900
817,20,RL,NA,137000
818,20,RL,NA,271000
819,80,RL,80,155000
820,120,RL,44,224000
821,60,RL,72,183000
822,20,RM,60,93000
823,60,RL,NA,225000
824,50,RL,60,139500
825,20,FV,81,232600
826,20,RL,114,385000
827,45,RM,50,109500
828,20,RL,65,189000
829,60,RL,NA,185000
830,160,FV,24,147400
831,20,RL,80,166000
832,160,FV,30,151000
833,60,RL,44,237000
834,20,RL,100,167000
835,20,RL,75,139950
836,20,RL,60,128000
837,30,RM,90,153500
838,160,RM,21,100000
839,20,RL,75,144000
840,50,RL,70,130500
841,70,RH,NA,140000
842,70,RM,60,157500
843,80,RL,82,174900
844,90,RL,80,141000
845,50,RM,100,153900
846,85,RL,NA,171000
847,60,RL,75,213000
848,20,RL,36,133500
849,50,RL,75,240000
850,80,RL,80,187000
851,120,RM,36,131500
852,120,RL,NA,215000
853,75,RL,53,164000
854,80,RL,NA,158000
855,20,RL,102,170000
856,20,RL,NA,127000
857,80,RL,NA,147000
858,60,RL,65,174000
859,20,RL,80,152000
860,60,RL,NA,250000
861,50,RL,55,189950
862,190,RL,75,131500
863,20,RL,81,152000
864,20,RL,70,132500
865,20,FV,72,250580
866,20,RL,NA,148500
867,20,RL,67,248900
868,20,RL,85,129000
869,60,RL,NA,169000
870,60,RL,80,236000
871,20,RL,60,109500
872,60,RL,70,200500
873,20,RL,74,116000
874,40,RL,60,133000
875,50,RM,52,66500
876,60,FV,75,303477
877,20,RL,94,132250
878,60,RL,74,350000
879,85,RL,88,148000
880,20,RL,NA,136500
881,20,RL,60,157000
882,50,RL,44,187500
883,60,RL,NA,178000
884,75,RL,60,118500
885,20,RL,65,100000
886,120,FV,50,328900
887,90,RL,70,145000
888,50,RL,59,135500
889,20,RL,95,268000
890,20,RL,128,149500
891,50,RL,60,122900
892,60,RL,70,172500
893,20,RL,70,154500
894,20,RL,NA,165000
895,90,RL,64,118858
896,60,RL,71,140000
897,30,RM,50,106500
898,90,RL,64,142953
899,20,RL,100,611657
900,20,RL,65,135000
901,20,RL,NA,110000
902,20,RL,64,153000
903,60,RL,63,180000
904,20,RL,50,240000
905,20,RL,NA,125500
906,20,RL,80,128000
907,20,RL,116,255000
908,50,RL,86,250000
909,20,RL,NA,131000
910,60,RL,149,174000
911,90,RL,80,154300
912,20,RL,NA,143500
913,30,RM,51,88000
914,90,RH,82,145000
915,160,FV,30,173733
916,160,RM,21,75000
917,20,C (all),50,35311
918,20,RL,NA,135000
919,60,RL,103,238000
920,20,RL,87,176500
921,60,RL,70,201000
922,90,RL,67,145900
923,20,RL,65,169990
924,120,RL,50,193000
925,20,RL,79,207500
926,20,RL,NA,175000
927,60,RL,93,285000
928,60,RL,NA,176000
929,20,RL,NA,236500
930,60,RL,NA,222000
931,20,RL,73,201000
932,20,RL,70,117500
933,20,RL,84,320000
934,20,RL,63,190000
935,20,RL,313,242000
936,30,RL,52,79900
937,20,RL,67,184900
938,60,RL,75,253000
939,60,RL,73,239799
940,70,RL,NA,244400
941,90,RL,55,150900
942,60,RL,NA,214000
943,90,RL,42,150000
944,90,RL,100,143000
945,20,RL,NA,137500
946,50,RM,98,124900
947,80,RL,70,143000
948,20,RL,85,270000
949,60,RL,65,192500
950,20,RL,78,197500
951,20,RL,60,129000
952,20,RH,60,119900
953,85,RL,60,133900
954,60,RL,NA,172000
955,90,RL,35,127500
956,90,RH,82,145000
957,160,RM,24,124000
958,20,RL,70,132000
959,20,RL,65,185000
960,160,FV,24,155000
961,20,RL,50,116500
962,60,RL,NA,272000
963,160,RL,24,155000
964,20,RL,122,239000
965,60,RL,80,214900
966,60,RL,65,178900
967,50,RL,130,160000
968,20,RL,NA,135000
969,50,RM,50,37900
970,190,RL,75,140000
971,50,RL,60,135000
972,160,RL,36,173000
973,120,RL,55,99500
974,20,FV,95,182000
975,70,RL,60,167500
976,160,FV,NA,165000
977,30,RL,51,85500
978,120,FV,35,199900
979,20,RL,68,110000
980,20,RL,80,139000
981,85,RL,NA,178400
982,60,RL,98,336000
983,20,RL,43,159895
984,60,RL,NA,255900
985,90,RL,75,126000
986,190,RL,68,125000
987,50,RM,59,117000
988,20,RL,83,395192
989,60,RL,NA,195000
990,60,FV,65,197000
991,60,RL,82,348000
992,70,RM,121,168000
993,60,RL,80,187000
994,60,RL,68,173900
995,20,RL,96,337500
996,50,RL,51,121600
997,20,RL,NA,136500
998,20,RL,NA,185000
999,30,RM,60,91000
1000,20,RL,64,206000
1001,20,RL,74,82000
1002,30,RL,60,86000
1003,20,RL,75,232000
1004,90,RL,NA,136905
1005,120,RL,43,181000
1006,80,RL,65,149900
1007,20,RL,NA,163500
1008,160,RM,21,88000
1009,20,RL,43,240000
1010,50,RL,60,102000
1011,50,RL,115,135000
1012,90,RL,75,100000
1013,70,RL,55,165000
1014,30,RM,60,85000
1015,20,RL,60,119200
1016,60,RL,70,227000
1017,20,RL,73,203000
1018,120,RL,NA,187500
1019,80,RL,NA,160000
1020,120,RL,43,213490
1021,20,RL,60,176000
1022,20,RL,64,194000
1023,50,RM,52,87000
1024,120,RL,43,191000
1025,20,RL,NA,287000
1026,20,RL,70,112500
1027,20,RL,73,167500
1028,20,RL,71,293077
1029,50,RL,79,105000
1030,160,RM,21,118000
1031,190,RH,NA,160000
1032,75,RL,102,197000
1033,60,RL,NA,310000
1034,20,RL,NA,230000
1035,30,RL,50,119750
1036,20,RL,NA,84000
1037,20,RL,89,315500
1038,60,RL,NA,287000
1039,160,RM,21,97000
1040,180,RM,21,80000
1041,20,RL,88,155000
1042,60,RL,NA,173000
1043,120,RL,34,196000
1044,60,RL,86,262280
1045,20,RL,80,278000
1046,20,RL,NA,139600
1047,60,RL,85,556581
1048,20,RL,57,145000
1049,20,RL,100,115000
1050,20,RL,60,84900
1051,20,RL,73,176485
1052,20,RL,103,200141
1053,60,RL,100,165000
1054,20,RL,68,144500
1055,60,RL,90,255000
1056,20,RL,104,180000
1057,120,RL,43,185850
1058,60,RL,NA,248000
1059,60,RL,96,335000
1060,50,RL,NA,220000
1061,120,RL,41,213500
1062,30,C (all),120,81000
1063,190,RM,85,90000
1064,30,RM,50,110500
1065,20,RL,NA,154000
1066,60,RL,80,328000
1067,60,RL,59,178000
1068,60,RL,80,167900
1069,160,RM,42,151400
1070,45,RL,60,135000
1071,20,RL,72,135000
1072,60,RL,78,154000
1073,50,RL,50,91500
1074,60,RL,75,159500
1075,20,RL,74,194000
1076,70,RL,75,219500
1077,50,RL,60,170000
1078,20,RL,NA,138800
1079,120,RM,37,155900
1080,20,RL,65,126000
1081,20,RL,80,145000
1082,20,RL,75,133000
1083,20,RL,70,192000
1084,20,RL,80,160000
1085,60,RL,NA,187500
1086,85,RL,73,147000
1087,160,RM,NA,83500
1088,60,FV,85,252000
1089,160,RM,24,137500
1090,120,FV,37,197000
1091,90,RL,60,92900
1092,160,FV,24,160000
1093,50,RL,60,136500
1094,20,RL,71,146000
1095,20,RL,74,129000
1096,20,RL,78,176432
1097,70,RM,60,127000
1098,120,RL,NA,170000
1099,50,RM,50,128000
1100,20,RL,82,157000
1101,30,RL,60,60000
1102,20,RL,61,119500
1103,20,RL,70,135000
1104,20,RL,79,159500
1105,160,RM,24,106000
1106,60,RL,98,325000
1107,20,RL,114,179900
1108,60,RL,168,274725
1109,60,RL,NA,181000
1110,20,RL,107,280000
1111,60,RL,NA,188000
1112,60,RL,80,205000
1113,20,RL,73,129900
1114,20,RL,66,134500
1115,20,RL,90,117000
1116,20,RL,93,318000
1117,80,RL,NA,184100
1118,20,RL,57,130000
1119,80,RL,85,140000
1120,20,RL,70,133700
1121,30,RM,59,118400
1122,20,RL,84,212900
1123,20,RL,NA,112000
1124,20,RL,50,118000
1125,80,RL,NA,163900
1126,20,RL,60,115000
1127,120,RL,53,174000
1128,20,RL,182,259000
1129,60,RL,59,215000
1130,90,RM,60,140000
1131,50,RL,65,135000
1132,20,RL,63,93500
1133,70,RM,90,117500
