,TV,radio,radio_2,newspaper,area,sales
129,220.3,49.0,98.0,3.2,urban,24.7
130,59.6,12.0,24.0,43.1,suburban,9.7
131,0.7,39.6,79.2,8.7,urban,1.6
132,265.2,2.9,5.8,43.0,urban,12.7
133,8.4,27.2,54.4,2.1,suburban,5.7
134,219.8,33.5,67.0,45.1,suburban,19.6
135,36.9,38.6,77.2,65.6,suburban,10.8
136,48.3,47.0,94.0,8.5,suburban,11.6
137,25.6,39.0,78.0,9.3,urban,9.5
138,273.7,28.9,57.8,59.7,rural,20.8
139,43.0,25.9,51.8,20.5,urban,9.6
140,184.9,43.9,87.8,1.7,rural,20.7
141,73.4,17.0,34.0,12.9,suburban,10.9
142,193.7,35.4,70.8,75.6,rural,19.2
143,220.5,33.2,66.4,37.9,suburban,20.1
144,104.6,5.7,11.4,34.4,suburban,10.4
145,96.2,14.8,29.6,38.9,urban,11.4
146,140.3,1.9,3.8,9.0,suburban,10.3
147,240.1,7.3,14.6,8.7,suburban,13.2
148,243.2,49.0,98.0,44.3,urban,25.4
149,38.0,40.3,80.6,11.9,urban,10.9
150,44.7,25.8,51.6,20.6,urban,10.1
151,280.7,13.9,27.8,37.0,urban,16.1
152,121.0,8.4,16.8,48.7,urban,11.6
153,197.6,23.3,46.6,14.2,suburban,16.6
154,171.3,39.7,79.4,37.7,urban,19.0
155,187.8,21.1,42.2,9.5,suburban,15.6
156,4.1,11.6,23.2,5.7,suburban,3.2
157,93.9,43.5,87.0,50.5,urban,15.3
158,149.8,1.3,2.6,24.3,rural,10.1
159,11.7,36.9,73.8,45.2,rural,7.3
160,131.7,18.4,36.8,34.6,urban,12.9
161,172.5,18.1,36.2,30.7,suburban,14.4
162,85.7,35.8,71.6,49.3,suburban,13.3
163,188.4,18.1,36.2,25.6,suburban,14.9
164,163.5,36.8,73.6,7.4,urban,18.0
165,117.2,14.7,29.4,5.4,urban,11.9
166,234.5,3.4,6.8,84.8,rural,11.9
167,17.9,37.6,75.2,21.6,suburban,8.0
168,206.8,5.2,10.4,19.4,rural,12.2
169,215.4,23.6,47.2,57.6,suburban,17.1
170,284.3,10.6,21.2,6.4,rural,15.0
171,50.0,11.6,23.2,18.4,suburban,8.4
172,164.5,20.9,41.8,47.4,suburban,14.5
173,19.6,20.1,40.2,17.0,rural,7.6
174,168.4,7.1,14.2,12.8,urban,11.7
175,222.4,3.4,6.8,13.1,rural,11.5
176,276.9,48.9,97.8,41.8,urban,27.0
177,248.4,30.2,60.4,20.3,suburban,20.2
178,170.2,7.8,15.6,35.2,urban,11.7
179,276.7,2.3,4.6,23.7,suburban,11.8
180,165.6,10.0,20.0,17.6,suburban,12.6
181,156.6,2.6,5.2,8.3,urban,10.5
182,218.5,5.4,10.8,27.4,suburban,12.2
183,56.2,5.7,11.4,29.7,rural,8.7
184,287.6,43.0,86.0,71.8,urban,26.2
185,253.8,21.3,42.6,30.0,suburban,17.6
186,205.0,45.1,90.2,19.6,urban,22.6
187,139.5,2.1,4.2,26.6,suburban,10.3
188,191.1,28.7,57.4,18.2,rural,17.3
189,286.0,13.9,27.8,3.7,urban,15.9
190,18.7,12.1,24.2,23.4,rural,6.7
191,39.5,41.1,82.2,5.8,suburban,10.8
192,75.5,10.8,21.6,6.0,rural,9.9
193,17.2,4.1,8.2,31.6,suburban,5.9
194,166.8,42.0,84.0,3.6,suburban,19.6
195,149.7,35.6,71.2,6.0,rural,17.3
196,38.2,3.7,7.4,13.8,suburban,7.6
197,94.2,4.9,9.8,8.1,urban,9.7
198,177.0,9.3,18.6,6.4,suburban,12.8
199,283.6,42.0,84.0,66.2,rural,25.5
200,232.1,8.6,17.2,8.7,rural,13.4
